ghn_district_id,provine_id,name
1927,234,Huyện Đông Sơn
1926,253,Huyện Đông Hải
1925,229,Huyện Đoan Hùng
1924,244,Huyện Định Hóa
1923,265,Huyện Điện Biên
1922,252,Huyện Đầm Dơi
1921,259,Huyện Đắk Glei
1920,230,Huyện đảo Vân Đồn
1919,209,Huyện Đam Rông
1918,244,Huyện Đại Từ
1917,243,Huyện Đại Lộc
1916,267,Huyện Đà Bắc
1915,201,Huyện Chương Mỹ
1914,245,Huyện Chợ Mới
1913,245,Huyện Chợ Đồn
1912,250,Huyện Châu Thành A
1911,214,Huyện Châu Thành
1910,218,Huyện Châu Thành
1909,211,Huyện Châu Thành
1908,214,Huyện Cầu Ngang
1907,211,Huyện Cần Giuộc
1906,211,Huyện Cần Đước
1905,229,Huyện Cẩm Khê
1904,247,Huyện Cao Lộc
1903,238,Huyện Cam Lộ
1902,208,Huyện Cam Lâm
1901,252,Huyện Cái Nước
1900,212,Huyện Cái Bè
1899,239,Huyện Bù Đăng
1898,242,Huyện Bình Sơn
1897,232,Huyện Bình Lục
1896,230,Huyện Bình Liêu
1895,213,Huyện Bình Đại
1894,211,Huyện Bến Lức
1893,227,Huyện Bắc Quang
1892,269,Huyện Bắc Hà
1891,269,Huyện Bảo Yên
1890,246,Huyện Bảo Lâm
1889,245,Huyện Bạch Thông
1888,213,Huyện Ba Tri
1887,245,Huyện Ba Bể
1886,262,Huyện An Lão
1885,223,Huyện A Lưới
1884,210,Huyện Krông Ana
1883,252,Huyện Phú Tân
1882,223,Huyện Phú Lộc
1881,234,Huyện Vĩnh Lộc
1880,234,Huyện Thạch Thành
1879,234,Huyện Quan Hóa
1878,234,Huyện Mường Lát
1877,234,Huyện Hà Trung
1876,234,Thị xã Bỉm Sơn
1875,234,Huyện Yên Định
1874,234,Huyện Ngọc Lặc
1873,234,Huyện Thọ Xuân
1872,234,Huyện Thường Xuân
1871,234,Huyện Như Xuân
1870,234,Thị Xã Nghi Sơn
1869,226,Huyện Thái Thụy
1868,226,Huyện Quỳnh Phụ
1867,226,Huyện Hưng Hà
1866,240,Huyện Gò Dầu
1865,240,Huyện Bến Cầu
1864,240,Huyện Dương Minh Châu
1863,240,Huyện Tân Châu
1862,240,Huyện Tân Biên
1861,238,Huyện Vĩnh Linh
1860,238,Huyện Hướng Hóa
1859,237,Thị xã Ba Đồn
1858,237,Huyện Bố Trạch
1857,237,Huyện Lệ Thủy
1856,260,Thị Xã Sông Cầu
1855,261,Huyện Ninh Sơn
1854,235,Huyện Nghi Lộc
1853,235,Huyện Con Cuông
1852,235,Huyện Quỳ Hợp
1851,235,Huyện Nghĩa Đàn
1850,235,Thị xã Thái Hòa
1849,235,Thị xã Hoàng Mai
1848,235,Huyện Quỳnh Lưu
1847,235,Huyện Diễn Châu
1846,235,Huyện Yên Thành
1845,235,Huyện Tân Kỳ
1844,235,Huyện Anh Sơn
1843,235,Huyện Đô Lương
1842,235,Thị xã Cửa Lò
1841,231,Huyện Ý Yên
1840,231,Huyện Hải Hậu
1839,209,Huyện Bảo Lâm
1838,209,Thành phố Bảo Lộc
1837,209,Huyện Đức Trọng
1836,209,Huyện Đơn Dương
1835,259,Huyện Đắk Hà
1834,259,Huyện Kon Plông
1833,219,Huyện An Biên
1832,219,Huyện Giồng Riềng
1831,219,Huyện Tân Hiệp
1830,219,Huyện Hòn Đất
1829,208,Huyện Vạn Ninh
1828,268,Huyện Yên Mỹ
1827,268,Thị xã Mỹ Hào
1826,268,Huyện Khoái Châu
1825,268,Huyện Ân Thi
1824,250,Huyện Phụng Hiệp
1823,250,Thành phố Ngã Bảy
1822,224,Huyện Vĩnh Bảo
1821,224,Huyện Tiên Lãng
1820,224,Huyện An Lão
1819,224,Huyện An Dương
1818,225,Thị xã Kinh Môn
1817,225,Huyện Cẩm Giàng
1816,225,Huyện Bình Giang
1815,236,Huyện Cẩm Xuyên
1814,236,Thị xã Hồng Lĩnh
1813,236,Huyện Nghi Xuân
1812,236,Huyện Hương Khê
1811,236,Huyện Kỳ Anh
1810,201,Huyện Ứng Hòa
1809,201,Huyện Thanh Oai
1808,201,Huyện Thạch Thất
1807,201,Huyện Phúc Thọ
1806,201,Huyện Mỹ Đức
1805,201,Huyện Hoài Đức
1804,201,Huyện Đan Phượng
1803,201,Huyện Ba Vì
1802,232,Thị xã Duy Tiên
1801,207,Huyện Chư Păh
1800,207,Thị xã An Khê
1799,207,Huyện Ia Pa
1798,207,Thị xã Ayun Pa
1797,207,Huyện Phú Thiện
1796,207,Huyện Chư Sê
1795,207,Huyện Chư Prông
1794,207,Huyện Đức Cơ
1793,207,Huyện Ia Grai
1792,241,Huyện Đắk Mil
1791,241,Huyện Đắk Glong
1790,241,Huyện Đắk R lấp
1789,210,Huyện Krông Bông
1788,210,Thị xã Buôn Hồ
1787,210,Huyện Krông Năng
1786,210,Huyện Ea H leo
1785,210,Huyện Cư M gar
1784,210,Huyện Buôn Ðôn
1783,252,Huyện Năm Căn
1782,252,Huyện Thới Bình
1781,258,Huyện Tuy Phong
1780,258,Huyện Bắc Bình
1779,258,Huyện Đức Linh
1778,258,Thị xã La Gi
1777,258,Huyện Hàm Thuận Bắc
1776,258,Huyện Hàm Thuận Nam
1775,239,Thị xã Phước Long
1774,239,Thị xã Bình Long
1773,239,Huyện Hớn Quản
1772,239,Huyện Chơn Thành
1771,262,Thị xã Hoài Nhơn
1770,262,Huyện Phù Cát
1769,262,Thị xã An Nhơn
1768,249,Huyện Yên Phong
1767,249,Huyện Thuận Thành
1766,249,Huyện Gia Bình
1765,248,Huyện Yên Thế
1764,248,Huyện Yên Dũng
1763,248,Huyện Việt Yên
1762,248,Huyện Tân Yên
1761,248,Huyện Sơn Động
1760,248,Huyện Lạng Giang
1759,248,Huyện Hiệp Hòa
1758,217,Huyện Châu Phú
1757,217,Huyện Chợ Mới
1756,217,Huyện Phú Tân
1755,217,Huyện Tân Châu
1754,217,Huyện An Phú
1753,217,Thành phố Châu Đốc
1752,217,Huyện Tịnh Biên
1751,217,Huyện Tri Tôn
1750,217,Huyện Thoại Sơn
1749,223,Huyện Phú Vang
1748,234,Huyện Hoằng Hóa
1747,234,Huyện Quảng Xương
1746,205,Huyện Dầu Tiếng
1745,228,Huyện Yên Sơn
1744,269,Huyện Bát Xát
1743,218,Huyện Mỹ Xuyên
1742,213,Huyện Châu Thành
1741,212,Huyện Chợ Gạo
1740,212,Huyện Châu Thành
1739,208,Huyện Diên Khánh
1738,242,Huyện Tư Nghĩa
1737,242,Huyện Sơn Tịnh
1736,243,Thị xã Điện Bàn
1735,243,Huyện Duy Xuyên
1734,221,Huyện Yên Lạc
1733,221,Huyện Vĩnh Tường
1732,221,Huyện Bình Xuyên
1731,244,Huyện Đồng Hỷ
1730,249,Thị xã Từ Sơn
1729,249,Huyện Tiên Du
1728,249,Huyện Quế Võ
1727,225,Huyện Nam Sách
1726,224,Huyện Thủy Nguyên
1725,216,Huyện Lai Vung
1724,216,Huyện Cao Lãnh
1723,253,Huyện Hòa Bình
1722,239,Huyện Đồng Phú
1721,240,Thị xã Hòa Thành
1720,240,Huyện Châu Thành
1719,219,Huyện Châu Thành
1718,217,Huyện Châu Thành
1717,268,Huyện Kim Động
1716,226,Huyện Vũ Thư
1715,226,Huyện Đông Hưng
1714,233,Huyện Yên Khánh
1713,233,Thành phố Tam Điệp
1712,234,Thành phố Sầm Sơn
1711,201,Thị xã Sơn Tây
1710,201,Huyện Thanh Trì
1709,206,Huyện Châu Đức
1708,204,Huyện Nhơn Trạch
1707,224,Quận Đồ Sơn
1706,224,Quận Dương Kinh
1705,204,Huyện Thống Nhất
1704,204,Huyện Xuân Lộc
1703,201,Huyện Gia Lâm
1702,204,Huyện Cẩm Mỹ
1701,206,Thị Xã Phú Mỹ
1700,204,Huyện Định Quán
1699,206,Huyện Xuyên Mộc
1698,223,Thị xã Hương Thủy
1697,223,Thị xã Hương Trà
1696,205,Thị xã Bến Cát
1695,205,Thị xã Tân Uyên
1694,204,Huyện Long Thành
1693,204,Huyện Tân Phú
1692,204,Thành phố Long Khánh
1691,204,Huyện Trảng Bom
1690,206,Huyện Đất Đỏ
1689,206,Huyện Long Điền
1688,206,TT Phú Mỹ - cũ
1687,203,Huyện Hòa Vang
1686,230,Thành phố Uông Bí
1684,244,Thành Phố Sông Công
1683,230,Thành phố Cẩm Phả
1682,269,Thành phố Lào Cai
1680,268,Thành phố Hưng Yên
1678,267,Thành phố Hòa Bình
1677,266,Thành phố Sơn La
1676,265,Thành phố Điện Biên Phủ
1675,264,Thành phố Lai Châu
1674,263,Thành phố Yên Bái
1668,216,Thành phố Sa Đéc
1667,206,Thành phố Bà Rịa
1666,258,Thành phố Phan Thiết
1665,261,Thành phố Phan Rang – Tháp Chàm
1664,208,Thành phố Cam Ranh
1663,260,Thành phố Tuy Hòa
